user_category,content
通话类,反馈送话声音小
通话类,打电话有时接收音杂，有时对方听不到
音频类,扬声器杂音
反应慢/不流畅类,看视频，抖音，淘宝网络慢，有时按返回键无法返回  销售部门已换机
使用时间类,不保电
SIM卡类,不读卡
使用时间类,耗电快
前触摸屏类,触屏无功能
使用时间类,用户反映不待电
其他类,用户反映手机内存满
前触摸屏类,屏幕跳
开关机类,开不了机
前显示屏类,屏幕下方有阴影
电池&安全类,烧毁
前显示屏类,黑屏
网络信号类,微信视屏，打电话有杂音，信号弱
前显示屏类,显示屏变色
网络信号类,无信号
开关机类,不能开机
上网类,用户反馈 网络信号不好 指纹解锁不灵敏（
充电类,充电慢
其他类,接不到电话
后置拍照类,后置摄像头有黑点
SIM卡类,不识卡
充电类,手机不充电
通话类,手机不送话
发热类,手机发热
用户描述无故障（纯服务类）,忘记密码
开关机类,不开机
反应慢/不流畅类,手机玩游戏反应慢，黑屏，外放无声，来电无声
通话类,手机通话无发送
前显示屏类,主屏幕有竖线  
前触摸屏类,返回键有时候不好用
重度社交应用类,用户表示机器微信异常
反应慢/不流畅类,手机卡检测手机
开关机类,不开机
内置程序异常类,显示经常手机异常
内置程序异常类,微信反应慢，不会自动息屏，粘贴复制文字会自动跳屏
网络信号类,用户描述手机网络信号差，上网使用数据慢（在其住的地方网络差）
网络信号类,双卡电信卡呈2G
开关机类,机器不开机
通话类,打电话回音
发热类,反应迟钝 闪退 充电发热
使用时间类,待机短 充电时屏幕下方闪屏
前显示屏类,其他 屏幕有蓝光点
其他类,老是自动拨打电话
外观结构类,后盖掉色
通话类,通话有回音
第三方程序异常类,HB 用户表示机器运行程序闪退  
外观结构类,机身变形
前显示屏类,花屏
其他类,其他
其他类,外卖无法接单
反应慢/不流畅类,用户反馈机器玩游戏卡慢死机发烫
死机类,死机  不开机  换机
Wi-Fi类,无线网掉线
反应慢/不流畅类,反应慢
Wi-Fi类,进水，无线网无无法连接
GPS类,导航信号弱
网络信号类,用户表示机器无4G网络，经售后检测故障不存在，沟通后换新机，河间直营蔡瑞召。
前置伸缩类,前置摄像头伸缩不流畅
通话类,信号差，打电话听不见
死机类,开机就死机
前置拍照类,摄像头不清楚
前显示屏类,黑屏
外观结构类,用户反馈机器在外拆修，无屏幕
第三方程序异常类,手机手机打开软件慢
前显示屏类,黑屏
用户描述无故障（纯服务类）,视频，游戏无法横屏，还原OK
后置拍照类, 后摄像头拍照不聚焦  
电池盖裂类,电池盖裂
发热类,手机使用发热
使用时间类,手机耗电快
用户描述无故障（纯服务类）,贴电池盖膜
使用时间类,待机时间短，发热
音频类,有杂音
网络信号类,信号差
重度社交应用类,微信有时视频不通送话，微信接收消息慢
通话类,听筒无声
开关机类,不开机
用户描述无故障（纯服务类）,询问是否移动全网通可以转换成全网通
用户描述无故障（纯服务类）,咨询
前置伸缩类,用户反映手机前置摄像头伸缩卡顿
开关机类,用户反映手机开机卡在VIVO界面（321322199511118619）
使用时间类,手机发热，耗电快，检测软件耗电较多，建议用户重装系统排除，用户暂不处理
重度社交应用类,微信视频和语音10秒之后就听不见声音了 提示网络信号差
使用时间类,待机时间短
死机类,死机
发热类,手机发烫 
前置拍照类,弹摄像头时会闪退到主界面
充电类,顺丰取件异常原因:经客户同意，更改收派时间;不充电
音频类,声音有问题
充电类,不能充电
使用时间类,耗电快，自动重启，门店已换机
后置拍照类,其他
死机类,经常无网络  死机
开关机类,不开机
后置拍照类,手机拍摄红色画面失真
Wi-Fi类,家里连接不上WiFi 卡顿 检测换新  涿州张晶代理（已拆机检测）
第三方程序异常类,反应迟钝 闪退 充电发热
发热类,手机发烫
死机类,用户表示机器死机，经售后检测故障不存在，沟通后换新机，河间直营蔡瑞召。
使用时间类,待机时间短 快手直播两个小时没电
反应慢/不流畅类,有时玩游戏卡屏
通话类,微信语音声音不清晰，有杂音
前触摸屏类,触屏失灵
电池&安全类,卡机，用电快，前置摄像头变形
开关机类,不开机
通话类,听筒无声 
重启类,反馈手机重启
开关机类,机器看视频经常自动关机
通话类,通话有时又刺耳声有时无送话，
前显示屏类,黑屏
按键类,黑屏，死机，音量键卡键，指纹不灵敏
使用时间类,耗电快   手机充电发热
使用时间类,手机耗电快
用户描述无故障（纯服务类）,用户要求清空手机中所有资料，刷机
用户描述无故障（纯服务类）,咨询购机
其他类,小v自动播放
后显示屏类,副屏显示黑屏
反应慢/不流畅类,发热，不存电，反应慢
开关机类,不充电，不开机
网络信号类,打电话自动挂断
死机类,出现过一次死机，充电时充电器和数据线很烫
充电类,不充电
前显示屏类,显示花屏 
闪光灯/手电筒类,用户反馈机器手电筒无法打开
前显示屏类,显示彩条
通话类,送话有杂音
指纹识别类,指纹不能解锁
重度社交应用类,微信语音异常
重度社交应用类,用户反映微信语音，视屏通话杂音大
后显示屏类,副屏显示偏色
发热类,发热
通话类,通话听不清
反应慢/不流畅类,卡顿  检测换新  涿州张晶代理（已拆机检测）
网络信号类,在家时候没信号 外面可以
反应慢/不流畅类,手机反应慢
通话类,通话有杂音有时没有声音、返回键不灵敏 、手机卡顿  
重度社交应用类,微信收视频异常
后置拍照类,摄像拍照不能使用
网络信号类,信号弱
其他类,摄像头有水印
前置伸缩类,前置升降摄像头声音大。
充电类,充不起电、
音频类,无声音
发热类,通话，视屏，充电时手机发热
传感器类,手机来电黑屏
前显示屏类,解锁时显示屏有出现过竖线，快手和腾讯视频出现2次黑屏
发热类,出现过一次死机，充电时充电器和数据线很烫
重度社交应用类,QQ跳屏
反应慢/不流畅类,卡顿
开关机类,不开机
使用时间类,机器耗电快，发热
发热类,反馈昨天死机，发热
前显示屏类,显示重影 闪屏
外观结构类,卡机，用电快，前置摄像头变形
使用时间类,滇池不耐用，客户要求换机
重度社交应用类,微信视频的时候听不到对方的声音
前触摸屏类,屏幕非原装，外放杂音
外观结构类,后盖按压异响
发热类,手机发热
反应慢/不流畅类,玩游戏卡
上网类,上网卡顿
Wi-Fi类,无线网会断
死机类,死机
上网类,数据网络卡、充电发热
反应慢/不流畅类,卡顿
重度社交应用类,微信发语音没有声音
上网类,上网慢 耗电快 有时微信来消息没有提示
网络信号类,别人打电话打不进来 
按键类,其他
